1,四川 藏区 需要 4 ﹣ 10 岁 孩子 的 衣服 和 鞋子 ， 新旧 不 限 ， 洗 干净 就 好 。 地址 ： 四川省 甘孜 藏族 石渠县 西区 长沙 贡马 乡 小学 ， 邮编 ： 627350   校长 ： 达洼   15884044467 。 如果 没有 合适 的 衣服 ， 转 一下 贴 也好 ， 一下 简单 的 动作 ， 能 给 孩子 更 多 温暖 ！
0,【 空姐 跪地 喂 老人 吃饭   老人 感动 落泪 [ 心 ] 】 12 月 8 日 ， 在 郑州 飞往 海南 的 航班 上 ， 一位 河南 新乡 老人 因 患有 脑梗 无法 握勺 进食 ， 空姐 樊 雪松 跪 在 老人 身边 喂 他 吃饭 ， 老人 因 感动 而 泣不成声 。 网友 ： 若 不是 心中 有大爱 ， 定 不会 有 此景 此情 。 真正 的 服务 不是 靠 培训 和 要求 ， 是 发自内心 的 感情 。 http : / / t . cn / R4zG0Rx
0,每晚 疲劳 的 睡 在 床上 时 ， 才 感觉 真真切切 地过 了 一天 。 人生 最 重要 的 不仅 是 努力 ， 还有 方向 。 压力 不是 有人 比 你 努力 ， 而是 比 你 牛 几倍 的 人 依然 比 你 努力 。 即使 看不到 未来 ， 也 依然 相信 ， 自己 选 的 人生 错 不了 。 第二天 叫醒 我 的 不是 闹钟 ， 而是 梦想 。 （ 范玮琪 《 最初 的 梦想 》 ） http : / / t . cn / z0g76us
1,【 全球 发出 警示 ！ 紧急 扩散 ！ 】 隐翅虫 ， 在 你 身上 时 绝对 不要 打 ， 她 身上 有 毒液 ， 接触 到 皮肤 ， 就 死定了 ！   跟 你 的 孩子 、 朋友 讲 ， 万一 身上 有 這虫 ， 用 嘴巴 轻轻 吹 走 就 好 。 绝对 不要 用手 打 。   医师 强调 ， 如果 每个 收到 這份 信息 的 人 ， 能够 转发 分享 给 其他人 ， 肯定 至少 有 一条 生命 将会 被 挽救 回來 。
1,周喜军 儿子 周磊 为 真凶 ， 周磊 平日 游手好闲 ， 江湖 称号 “ 经开 三哥 ” 。 警察 在 带 周喜军 指认 现场 时 发现 可疑 ， 确认 是 父亲 替儿 顶罪 自首 ， 今日 周磊 已 归案 。 传因 婴儿 父亲 与其 女友 有染 ， 遂 劫车 杀人 报复 。 图为 周磊 、 周喜军 及 被盗 车 监控 照片 ， 大家 看看 到底 是 老子 在 开车 还是 儿子 在 开车 。 @ 观点 联播 V   @ 摆古论 今
0,今天 端午 拍摄 没有 粽子 吃 ， 月明星稀 下 独自 望 着 远去 的 红河 ， 清晰 看到 2300 年前 的 一个 身影 ， 辗转 流离 ， 远离 故土 ， 满腔 报国无门 的 悲叹 。 回乡 既 不 可能 ， 求贤 又 不得志 ， 被 发行 吟泽畔 ， 颜色 憔悴 空怀 抱负 。 在 无可奈何 之际 ， 他 自沉于 汨罗江 中 ， 以明 其 忠贞 爱国 之怀 ， 虽九 死而无悔 矣 ！ 古往今来 ， 几多 屈原 共壮 哉 ！
1,昨日 福建省 泉州市 警察局 抓 到 几个 拐卖 小孩 犯罪团伙 ， 现场 获救 了 一名 5 岁 的 小孩 。 因 他 还 小 ， 说不清楚 自己 家 的 详细 地址 和 家里 的 电话 。 只 知道 他 是 云南 昭通市 人 ！ 如果 你 认识 他 麻烦 你 转告 他 家人 到 福建省 泉州市 公安局 来接 他 。 请 看到 的 每 一个 朋友 都 能 帮忙 转 一下 ！ 小孩 实在 是 太 可怜 了 。 http : / / t . cn / zjb1oUB
0,两人 在 一起 ， 有 回忆 就是 幸福 ！ — — 心灵鸡汤 。 今晚 跟 大伙 煲 个 鸡汤 ， 有 同感 转给 喜欢 的 人 。 晚安 。 图转 。
0,"【 荷兰 领馆 哭 了 ： "" 憋 "" 砸 了   俄罗斯 领馆 在 隔壁 [ doge ] [ 喵 喵 ] 】 据说 ， 俄军 战机 “ 侵犯 ” 土耳其 领空 后 ， 怒气冲冲 的 伊斯坦布尔 民众 第一 时间 杀 向 了 俄罗斯 领馆 — — 的 隔壁 ， 荷兰 领馆 。 冒 着 “ 蛋雨 ” ， 欲哭无泪 的 荷兰 总领事 发了 这么 条 推特 ： “ 老是 不爽 的 土耳其 示威者 错 把 我们 当成 邻居 俄罗斯 领事馆 了 。   ”"
1,中国 记者 杨慧峰 ： 【 央视 员工 爆料 ： 广西 惊现 帝王 局长 】   广西 都 安 民政局长 黄某 一个 人 吃 着 509 份底 保 ， 九套 房子 ， 6 个 老婆 。 三 老婆 刘茹 跟 人 偷情 被 局长 打 ， 不服 ， 报料 ： 各位 后宫 电话 ： 江素 ： 15078554853 黄鹂 ： 18777887596 张晓 ： 15078070889 阿萍 ： 13478865543 丽丽 ： 13877860659 第二轮 反腐 开始 ， 大家 速速 顶起 。
1,【 调查 地沟油 的 记者 李翔 ， 死 了 】   身中 10 余刀 ， 惨死 。 他 为 全国 不能 吃 特供 的 十多亿 草泥马 的 食品安全 努力 过 。 他 付出 了 年轻 的 生命 。 草泥马 们 ， 请动 一下 鼠标 ， 转发 ， 表达 一下 谢意 。 不过 分 吧 ？ [ 悲伤 ] 恭请 转发 ！ ！ ！ 。
