1,央视 新闻报道 索尼 即将 破产 ， 但是 索尼 官方 立马 澄清 了 谣言 。 。 。 央视 这 是 唱 的 哪 一出 ？
1,【 豆腐 能 卖肉 价钱 】 今日 资兴市 交警大队 几协警 未开 单据 就 扣 走 一台 价只 千元 的 旧 摩托 ， 赎车 时 粗算 罚款 保险 得花 二千 来 块钱 。 纳闷 ， 豆腐 岂能 卖 肉价 ？ 后 发现 交警队 内有 个 卖 旧车 的 小店 ， 恍然大悟 ！ 原来 你 不 赎 它 就 卖 。 祝 陈江 警官 ， 生意兴隆 、 财源 广进 ！ @ 御史 在 途   @ 郴州市 交通警察 支队
0,【 消息 称 蜀中 制药 涉嫌 用 苹果皮 做 板蓝根 以降 成本 】 蜀中 制药 涉嫌 用 苹果皮 制作 板蓝根 ， 以 降低成本 。 该 公司 一位 文姓 副总 证实 了 以上 消息 ， 称 目前 已 停产 1 个 多月 ， 最终 处理结果 要 等 省 药监局 的 正式 文件 。 蜀中 制药 缔造者 安好 义 曾 表示 ， 金杯 银杯 不如 老百姓 的 口碑 ， 只 做 老百姓 买得起 的 放心 药 ！ http : / / t . cn / he1Zvj
0,【 曝林峰 吴千语 同居 三月   年底 厦门 完婚 】 据港媒 报道 ， 林峰 痴恋 吴千语 达 爆灯 程度 ， 被 网民 笑 如 中 了 “ BB 降 ” 。 近 月 ， 为 多 见 吴千语 几面 ， 有 豪宅 不住 ， 搬到 吴千语 香闺 同居 试婚 。 同居 朝夕 相对 ， 二人 更觉 难舍难离 ， 林峰终 落实 年底 厦门 摆酒 迎娶 吴千语 。 详情 ： http : / / t . cn / 8shiAbn   [ 吃惊 ] 求 真相 ！ 不过 真心 祝福 ！
0,# 微 抢发 # 【   怒 ！ 摔死 女童 惨剧 又 在 河南 重演 】 法制晚报 讯 ， 河南 林州 一 民警 ， 酗酒 后 突然 抢走 街上 一 男子 怀里 7 个 月 大 的 女婴 ， 高 高举 过 头顶 后 猛摔 在 地 。 事件 发生 后 ， 涉事 民警 仅 受到 关禁闭 15 天 的 警务 纪律 处罚 。 目前 女婴 已 住院 ， 需 进一步 观察 。     孩子 有 什么 错 ？   丧心病狂 ！
0,# 央视 快讯 # 【 浙江 安吉 ： 一架 歼 - 8 飞机 夜航 训练 时 失事 】 记者 从 空军 获悉 ， 12 月 12 日 19 时 11 分 ， 一架 歼 - 8 飞机 在 夜间 飞行 训练 时 失事 ， 飞机 坠于 浙江省 安吉县 报福镇 汤口村 一处 山头 上 ， 飞行员 牺牲 ， 地面 无 人员伤亡 。 飞机 失事 后 ， 军 地 有关 部门 迅即 组织 力量 进行 现场 搜救 和 善后处理 。
1,【 360 浏览器 盗取 淘宝 店主 佣金 ？ ！ 】 媒体 猛料 ： 用户 使用 360 浏览器 上 淘宝 ， 一些 链接 的 淘宝 客 代码 会 被 360 篡改 ， 店主 本 不该 花 的 佣金 ， 会 被 360 旗下 上海 奇泰 获得 。 “ 几天 前 的 回头客 ， 买 了 同样 的 商品 ， 居然 也 被扣 推广 费 。 ” 想起 “ 淘宝 店主 猝死 ” 的 新闻 ， 360 的 良心 呢 ？ http : / / t . cn / zle4pIW
1,请 大家 留意 以下 信息 ： “ 公安厅 发来 的 信息 ： 如果 你 收到 “ 2011 年 五一 放假 调整 通知 ” 的 网址 。 在 任何 环境 下 请 不要 打开 它 ， 且 立即 删除 它 。 如果 你 打开 了 它 ， 你 会 失去 个人电脑 上 的 一切 东西 . 这个 网址 隐藏 新 的 病毒 ， 已经 确认 了 它 的 危险性 ， 而 杀毒软件 不能 清除 它 。 他 的 目标 是 摧毁 个人电脑 。
1,毛 将军 休闲 照 。 。 。 。
1,三星 捐 了 6000W ， 恒大 2000W ， 蒙牛 1000W ， 百度 500W ， 网易 500W 。 这 TM 到底 富 了 谁 。 红十字 买 1W 的 药品 ， 却 要求 开 5W 的 发票 。 TM 到底 多少 人靠 这次 地震 发了 财 ！ CNM 有 本事 来查 我家 水表 啊
